"region_class","term","estimate","std.error","p.value","p.adjusted"
"Urban","Grade_2013Primary 2",-1.92201200846553,0.365588792037263,2.04702224609783e-06,0.000182184979902707
"Urban","Grade_2013Primary 3",-2.36717198257956,0.394506954301451,1.22712526134248e-07,1.15349774566193e-05
"Urban","Grade_2013Primary 4",-2.72455310190538,0.426160579647976,2.68329236376017e-08,2.54912774557216e-06
"Urban","Grade_2013Primary 5",-2.92202081054517,0.429304872897986,5.34594954540684e-09,5.18557105904464e-07
"Urban","Grade_2013Primary 6,7,8",-3.96318411428475,0.519185704904486,2.07087831712016e-10,2.02946075077776e-08
"Urban","Grade_2013Secondary 1",-1.49703678554851,0.4055511760271,0.000483253822307231,0.0401100672515002
"Urban","Grade_2013Secondary 5",-1.82971603416059,0.493456437105154,0.000458235461145791,0.0384917787362464
"Urban","Grade_2012Primary 1",0.803432974510143,0.167960857514232,1.16031307130737e-05,0.000997869241324336
"Urban","Grade_2012Primary 2",1.1886476895261,0.222808404331167,1.5333546279195e-06,0.000138001916512755
"Urban","Grade_2012Primary 3",1.50744565996715,0.289158096679647,2.41107182526207e-06,0.000212174320623062
"Urban","Grade_2012Primary 4",1.73726009226721,0.30111786220428,2.97226194899022e-07,2.7047583735811e-05
"Urban","Grade_2012Primary 5",2.53181524329092,0.391369846810335,1.99726714288867e-08,1.91737645717313e-06
"Rural","(Intercept)",0.796366054362551,0.112758454396489,4.38870675906258e-12,4.34481969147195e-10
"Rural","prob_in_schMediocre teaching",-0.315322456585881,0.0858360407046041,0.000259817348080102,0.0220844745868087
"Rural","Grade_2013Pre-primary",-0.550011743047481,0.105925182184061,2.81525353893266e-07,2.59003325581805e-05
"Rural","Grade_2013Primary 1",-0.729207839192914,0.0599059905306278,1.00040150514608e-30,1.00040150514608e-28
"Rural","Grade_2013Primary 2",-1.45167283475336,0.073902572153768,3.34920998107507e-67,3.55016257993958e-65
"Rural","Grade_2013Primary 3",-2.06774773185588,0.0893854561365575,6.73264703161122e-86,7.33858526445623e-84
"Rural","Grade_2013Primary 4",-2.55625362240801,0.109931021432919,1.50349073678998e-86,1.65383981046898e-84
"Rural","Grade_2013Primary 5",-2.94262879535737,0.124552626088906,1.44853161873764e-88,1.60787009679878e-86
"Rural","Grade_2013Primary 6,7,8",-3.40751618485214,0.141387850841748,3.86453955931387e-91,4.32828430643154e-89
"Rural","Grade_2013Secondary 1",-3.15275691031297,0.158998219454714,3.49192081933003e-68,3.77127448487643e-66
"Rural","Grade_2013Secondary 4",-0.877601423197279,0.165740468951238,1.65269557381223e-07,1.53700688364537e-05
"Rural","Grade_2012Primary 1",0.738596256583829,0.0481840207561405,3.16878589768648e-45,3.20047375666335e-43
"Rural","Grade_2012Primary 2",1.32404665810729,0.0711578883234822,9.05506701652706e-62,9.32671902702287e-60
"Rural","Grade_2012Primary 3",1.81044486559701,0.0960965854052831,5.53909983233376e-63,5.76066382562711e-61
"Rural","Grade_2012Primary 4",2.21498107713638,0.114208582971031,6.8664449738424e-66,7.20976722253452e-64
"Rural","Grade_2012Primary 5",2.62465173790156,0.133353563702371,2.08874828129087e-67,2.23496066098123e-65
"Rural","Grade_2012Primary 6,7,8",2.39262220384346,0.151004109483201,9.51708324877343e-48,9.7074249137489e-46
"Rural","Grade_2012Secondary 1",-1.92695284979285,0.423836446274723,6.558357547222e-06,0.000570577106608314
